"No.","Time","signal strength","Source","Destination","Info","Length"
"8373","390.648041553","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=740/58370, ttl=64","161"
"8374","390.648057684","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=740/58370, ttl=64","161"
"8375","390.648074144","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=740/58370, ttl=64","161"
"8376","390.648089578","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=740/58370, ttl=64","161"
"8380","391.021703979","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=910/36355, ttl=64 (no response found!)","161"
"8381","391.073124026","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=910/36355, ttl=64 (reply in 8382)","161"
"8382","391.073939628","-79 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=910/36355, ttl=64 (request in 8381)","172"
"8383","391.075896190","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=910/36355, ttl=64","161"
"8391","391.644078767","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=741/58626, ttl=64 (no response found!)","172"
"8392","391.645888800","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=741/58626, ttl=64 (reply in 8393)","161"
"8393","391.648936325","-80 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=741/58626, ttl=64 (request in 8392)","172"
"8394","391.650567800","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=741/58626, ttl=64","161"
"8405","392.023003985","-60 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=911/36611, ttl=64 (no response found!)","161"
"8406","392.024149360","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=911/36611, ttl=64 (no response found!)","161"
"8407","392.024188599","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=911/36611, ttl=64 (reply in 8408)","161"
"8408","392.031426392","-79 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=911/36611, ttl=64 (request in 8407)","172"
"8409","392.033064352","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=911/36611, ttl=64","161"
"8415","392.645401613","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=742/58882, ttl=64 (no response found!)","172"
"8416","392.647413363","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=742/58882, ttl=64 (reply in 8417)","161"
