"No.","Time","signal strength","Source","Destination","Info","Length"
"199","13.016979171","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=111/28416, ttl=64 (no response found!)","161"
"200","13.018326138","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=111/28416, ttl=64 (reply in 201)","161"
"201","13.019925152","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=111/28416, ttl=64 (request in 200)","172"
"202","13.021972602","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=111/28416, ttl=64","161"
"211","13.408690435","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=89/22784, ttl=64 (no response found!)","172"
"212","13.410607465","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=89/22784, ttl=64 (reply in 213)","161"
"213","13.412543348","-74 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=89/22784, ttl=64 (request in 212)","172"
"214","13.414545765","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=89/22784, ttl=64","161"
"215","14.018069142","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=112/28672, ttl=64 (no response found!)","161"
"216","14.019651552","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=112/28672, ttl=64 (reply in 217)","161"
"217","14.024165886","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=112/28672, ttl=64 (request in 216)","161"
"225","14.409951346","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=90/23040, ttl=64 (no response found!)","172"
"226","14.413811304","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=90/23040, ttl=64 (reply in 227)","161"
"227","14.417329771","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=90/23040, ttl=64 (request in 226)","161"
"228","15.020349447","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=113/28928, ttl=64 (no response found!)","161"
"229","15.020378246","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=113/28928, ttl=64 (no response found!)","161"
"230","15.023786781","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=113/28928, ttl=64 (no response found!)","161"
"246","15.364534931","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=113/28928, ttl=64 (no response found!)","158"
"247","15.367142716","-50 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=113/28928, ttl=64 (no response found!)","158"
"248","15.369446995","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=113/28928, ttl=64 (reply in 249)","158"
"249","15.378530484","-51 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=113/28928, ttl=64 (request in 248)","158"
"250","15.382642839","-51 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=113/28928, ttl=64","158"
"251","15.384233442","-52 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=113/28928, ttl=64","158"
"252","15.385938584","-52 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=113/28928, ttl=64","158"
"253","15.412091917","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=91/23296, ttl=64 (no response found!)","172"
"254","15.414065694","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=91/23296, ttl=64 (reply in 255)","161"
"255","15.417668444","-51 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=91/23296, ttl=64 (request in 254)","161"
"256","15.418486585","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=91/23296, ttl=64","161"
"257","15.422206326","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=91/23296, ttl=64","161"
"258","16.021772889","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=114/29184, ttl=64 (no response found!)","161"
"265","16.413363456","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=92/23552, ttl=64 (no response found!)","172"
"266","16.413797615","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=92/23552, ttl=64 (no response found!)","172"
"267","16.464660880","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=114/29184, ttl=64 (no response found!)","162"
"268","16.464687244","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=92/23552, ttl=64 (no response found!)","172"
"269","16.464817484","","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=114/29184, ttl=64 (reply in 271)","162"
"270","16.464835391","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=92/23552, ttl=64 (reply in 272)","172"
"271","16.470097384","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=114/29184, ttl=64 (request in 269)","161"
"272","16.470135601","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=92/23552, ttl=64 (request in 270)","161"
"273","17.022669229","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=115/29440, ttl=64 (no response found!)","161"
"274","17.024202652","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=115/29440, ttl=64 (reply in 275)","161"
"275","17.027684626","-74 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=115/29440, ttl=64 (request in 274)","172"
"277","17.030365496","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=115/29440, ttl=64","161"
"284","17.415020406","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=93/23808, ttl=64 (no response found!)","172"
"285","17.417520676","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=93/23808, ttl=64 (no response found!)","161"
"286","17.417545514","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=93/23808, ttl=64 (reply in 287)","161"
"287","17.420161054","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=93/23808, ttl=64 (request in 286)","172"
"288","18.024404485","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=116/29696, ttl=64 (no response found!)","161"
"291","18.115834534","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=116/29696, ttl=64 (reply in 292)","161"
"292","18.120496288","-52 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=116/29696, ttl=64 (request in 291)","161"
"298","18.411832628","-61 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=94/24064, ttl=64 (no response found!)","172"
"299","18.413933965","-49 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=94/24064, ttl=64 (reply in 300)","161"
"300","18.416828628","-74 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=94/24064, ttl=64 (request in 299)","172"
"301","18.418865369","-50 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=94/24064, ttl=64","161"
"302","19.025401964","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=117/29952, ttl=64 (no response found!)","161"
"304","19.037406873","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=117/29952, ttl=64 (no response found!)","172"
"305","19.037596381","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=117/29952, ttl=64 (no response found!)","172"
"306","19.037855670","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=117/29952, ttl=64 (no response found!)","172"
"307","19.038717825","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=117/29952, ttl=64 (no response found!)","172"
"308","19.040381865","-51 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=117/29952, ttl=64 (no response found!)","172"
"309","19.043080898","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=117/29952, ttl=64 (reply in 310)","172"
"310","19.045752896","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=117/29952, ttl=64 (request in 309)","172"
"311","19.047874799","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=117/29952, ttl=64","161"
"318","19.418442983","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=95/24320, ttl=64 (no response found!)","172"
"319","19.421162750","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=95/24320, ttl=64 (no response found!)","161"
"320","19.421187808","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=95/24320, ttl=64 (no response found!)","161"
"321","19.421203874","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=95/24320, ttl=64 (no response found!)","161"
"322","19.421232368","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=95/24320, ttl=64 (no response found!)","161"
"323","19.421250868","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=95/24320, ttl=64 (no response found!)","161"
"324","19.425487325","-51 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=95/24320, ttl=64 (reply in 325)","161"
"325","19.431968478","-74 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=95/24320, ttl=64 (request in 324)","172"
"326","19.433786135","-74 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=95/24320, ttl=64","172"
"327","19.435607477","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=95/24320, ttl=64","172"
"328","20.026882134","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=118/30208, ttl=64 (no response found!)","161"
"333","20.266491590","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=118/30208, ttl=64 (reply in 334)","161"
"334","20.268566275","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=118/30208, ttl=64 (request in 333)","172"
"335","20.270679258","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=118/30208, ttl=64","161"
"338","20.415666942","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=96/24576, ttl=64 (no response found!)","172"
"339","20.417905632","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=96/24576, ttl=64 (reply in 340)","161"
"340","20.422418239","-75 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=96/24576, ttl=64 (request in 339)","172"
"341","20.424545474","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x063c, seq=96/24576, ttl=64","161"
"342","21.028708596","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=119/30464, ttl=64 (no response found!)","161"
"346","21.188038361","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x0744, seq=119/30464, ttl=64 (reply in 347)","161"
"347","21.190682772","-75 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=119/30464, ttl=64 (request in 346)","172"
"348","21.195501543","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x0744, seq=119/30464, ttl=64","161"
"352","21.425565089","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=97/24832, ttl=64 (no response found!)","172"
"353","21.438649148","-51 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=97/24832, ttl=64 (no response found!)","158"
"354","21.440453171","-49 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x063c, seq=97/24832, ttl=64 (no response found!)","158"
