S1A1(6);S2A1(6);S1H2(6);S2H2(6)
-64 dBm;-72 dBm;-63 dBm;-55 dBm
-55 dBm;-71 dBm;-54 dBm;-62 dBm
-73 dBm;-71 dBm;-54 dBm;-63 dBm
-55 dBm;-71 dBm;-52 dBm;-63 dBm
-63 dBm;-71 dBm;-54 dBm;-54 dBm
-64 dBm;-71 dBm;-54 dBm;-46 dBm
-54 dBm;-71 dBm;-55 dBm;-54 dBm
-54 dBm;-72 dBm;-39 dBm;-62 dBm
-55 dBm;-71 dBm;-55 dBm;-53 dBm
-54 dBm;-71 dBm;-63 dBm;-47 dBm
-72 dBm;-62 dBm;-54 dBm;-53 dBm
-54 dBm;-71 dBm;-46 dBm;-61 dBm
-63 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-60 dBm;-63 dBm;-46 dBm
-72 dBm;-71 dBm;-54 dBm;-54 dBm
-53 dBm;-53 dBm;-46 dBm;-62 dBm
-54 dBm;-61 dBm;-53 dBm;-55 dBm
-53 dBm;-72 dBm;-64 dBm;-47 dBm
-53 dBm;-54 dBm;-55 dBm;-54 dBm
-63 dBm;-62 dBm;-46 dBm;-55 dBm
-54 dBm;-61 dBm;-55 dBm;-62 dBm
-72 dBm;-62 dBm;-63 dBm;-54 dBm
-72 dBm;-72 dBm;-53 dBm;-47 dBm
-72 dBm;-55 dBm;-46 dBm;-55 dBm
-54 dBm;-62 dBm;-54 dBm;-61 dBm
-63 dBm;-62 dBm;-63 dBm;-46 dBm
-63 dBm;-71 dBm;-55 dBm;-54 dBm
-63 dBm;-72 dBm;-47 dBm;-62 dBm
-71 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-72 dBm;-63 dBm;-47 dBm
-54 dBm;-71 dBm;-64 dBm;-55 dBm
-55 dBm;-53 dBm;-54 dBm;-63 dBm
-53 dBm;-54 dBm;-54 dBm;-55 dBm
-52 dBm;-62 dBm;-53 dBm;-46 dBm
-52 dBm;-54 dBm;-62 dBm;-55 dBm
-53 dBm;-54 dBm;-47 dBm;-62 dBm
-54 dBm;-71 dBm;-54 dBm;-61 dBm
-51 dBm;-71 dBm;-63 dBm;-53 dBm
-52 dBm;-71 dBm;-54 dBm;-47 dBm
-51 dBm;-71 dBm;-47 dBm;-55 dBm
-63 dBm;-53 dBm;-54 dBm;-54 dBm
-55 dBm;-58 dBm;-63 dBm;-54 dBm
-72 dBm;-54 dBm;-53 dBm;-63 dBm
-54 dBm;-54 dBm;-47 dBm;-55 dBm
-63 dBm;-70 dBm;-54 dBm;-47 dBm
-55 dBm;-70 dBm;-63 dBm;-53 dBm
-72 dBm;-70 dBm;-54 dBm;-54 dBm
-53 dBm;-70 dBm;-41 dBm;-62 dBm
-63 dBm;-70 dBm;-54 dBm;-54 dBm
-54 dBm;-70 dBm;-63 dBm;-54 dBm
-72 dBm;-71 dBm;-54 dBm;-47 dBm
-55 dBm;-71 dBm;-47 dBm;-54 dBm
-63 dBm;-71 dBm;-54 dBm;-54 dBm
-63 dBm;-71 dBm;-63 dBm;-62 dBm
-55 dBm;-71 dBm;-63 dBm;-55 dBm
-55 dBm;-70 dBm;-55 dBm;-47 dBm
-55 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-71 dBm;-47 dBm;-62 dBm
-72 dBm;-60 dBm;-54 dBm;-54 dBm
-71 dBm;-70 dBm;-63 dBm;-48 dBm
-54 dBm;-70 dBm;-53 dBm;-55 dBm
-64 dBm;-71 dBm;-47 dBm;-62 dBm
-53 dBm;-71 dBm;-55 dBm;-54 dBm
-54 dBm;-72 dBm;-63 dBm;-47 dBm
-71 dBm;-72 dBm;-54 dBm;-54 dBm
-71 dBm;-71 dBm;-53 dBm;-62 dBm
-72 dBm;-71 dBm;-54 dBm;-54 dBm
-72 dBm;-71 dBm;-55 dBm;-47 dBm
-71 dBm;-71 dBm;-54 dBm;-54 dBm
