S1A1(10);S2A1(10);S1L2(10);S2L2(10)
-53 dBm;-62 dBm;-51 dBm;-62 dBm
-53 dBm;-53 dBm;-51 dBm;-53 dBm
-53 dBm;-53 dBm;-52 dBm;-81 dBm
-53 dBm;-54 dBm;-82 dBm;-54 dBm
-53 dBm;-54 dBm;-62 dBm;-62 dBm
-71 dBm;-53 dBm;-52 dBm;-51 dBm
-71 dBm;-71 dBm;-51 dBm;-80 dBm
-53 dBm;-54 dBm;-54 dBm;-80 dBm
-63 dBm;-53 dBm;-81 dBm;-80 dBm
-53 dBm;-51 dBm;-82 dBm;-49 dBm
-72 dBm;-54 dBm;-54 dBm;-55 dBm
-72 dBm;-62 dBm;-54 dBm;-52 dBm
-72 dBm;-53 dBm;-53 dBm;-54 dBm
-73 dBm;-55 dBm;-62 dBm;-62 dBm
-72 dBm;-54 dBm;-53 dBm;-52 dBm
-71 dBm;-53 dBm;-81 dBm;-81 dBm
-71 dBm;-53 dBm;-81 dBm;-54 dBm
-72 dBm;-51 dBm;-82 dBm;-62 dBm
-72 dBm;-70 dBm;-82 dBm;-54 dBm
-72 dBm;-49 dBm;-82 dBm;-81 dBm
-72 dBm;-62 dBm;-81 dBm;-81 dBm
-53 dBm;-55 dBm;-63 dBm;-54 dBm
-63 dBm;-72 dBm;-51 dBm;-61 dBm
-54 dBm;-52 dBm;-82 dBm;-55 dBm
-54 dBm;-62 dBm;-83 dBm;-54 dBm
-71 dBm;-53 dBm;-80 dBm;-54 dBm
-53 dBm;-53 dBm;-51 dBm;-62 dBm
-62 dBm;-52 dBm;-53 dBm;-61 dBm
-61 dBm;-72 dBm;-62 dBm;-56 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-61 dBm;-84 dBm;-61 dBm
-54 dBm;-54 dBm;-62 dBm;-53 dBm
-53 dBm;-54 dBm;-54 dBm;-82 dBm
-53 dBm;-54 dBm;-54 dBm;-82 dBm
-55 dBm;-72 dBm;-54 dBm;-81 dBm
-70 dBm;-54 dBm;-54 dBm;-80 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-63 dBm;-70 dBm;-80 dBm;-61 dBm
-55 dBm;-54 dBm;-54 dBm;-61 dBm
-55 dBm;-62 dBm;-62 dBm;-52 dBm
-55 dBm;-63 dBm;-55 dBm;-79 dBm
-54 dBm;-53 dBm;-82 dBm;-53 dBm
-54 dBm;-53 dBm;-54 dBm;-52 dBm
-51 dBm;-71 dBm;-61 dBm;-62 dBm
-54 dBm;-54 dBm;-55 dBm;-56 dBm
-71 dBm;-62 dBm;-81 dBm;-82 dBm
-51 dBm;-53 dBm;-53 dBm;-82 dBm
-51 dBm;-53 dBm;-63 dBm;-54 dBm
-51 dBm;-69 dBm;-54 dBm;-53 dBm
-51 dBm;-53 dBm;-80 dBm;-61 dBm
-52 dBm;-52 dBm;-54 dBm;-56 dBm
-53 dBm;-79 dBm;-51 dBm;-83 dBm
-63 dBm;-52 dBm;-51 dBm;-54 dBm
-53 dBm;-62 dBm;-50 dBm;-62 dBm
-54 dBm;-54 dBm;-55 dBm;-55 dBm
-51 dBm;-54 dBm;-53 dBm;-54 dBm
-52 dBm;-72 dBm;-63 dBm;-54 dBm
-51 dBm;-55 dBm;-55 dBm;-54 dBm
-72 dBm;-60 dBm;-53 dBm;-53 dBm
-53 dBm;-71 dBm;-54 dBm;-83 dBm
-62 dBm;-53 dBm;-63 dBm;-82 dBm
-72 dBm;-61 dBm;-52 dBm;-82 dBm
-72 dBm;-53 dBm;-51 dBm;-82 dBm
-72 dBm;-53 dBm;-52 dBm;-54 dBm
-54 dBm;-53 dBm;-83 dBm;-61 dBm
-63 dBm;-54 dBm;-83 dBm;-52 dBm
-54 dBm;-53 dBm;-84 dBm;-82 dBm
-54 dBm;-71 dBm;-84 dBm;-53 dBm
-53 dBm;-70 dBm;-54 dBm;-62 dBm
-53 dBm;-52 dBm;-62 dBm;-63 dBm
-54 dBm;-63 dBm;-54 dBm;-51 dBm
-70 dBm;-55 dBm;-52 dBm;-54 dBm
-53 dBm;-53 dBm;-54 dBm;-62 dBm
-61 dBm;-53 dBm;-52 dBm;-62 dBm
-72 dBm;-70 dBm;-52 dBm;-61 dBm
-72 dBm;-54 dBm;-54 dBm;-80 dBm
-54 dBm;-54 dBm;-83 dBm;-80 dBm
-65 dBm;-62 dBm;-62 dBm;-53 dBm
-55 dBm;-53 dBm;-53 dBm;-62 dBm
-53 dBm;-55 dBm;-53 dBm;-50 dBm
-53 dBm;-53 dBm;-51 dBm;-51 dBm
-71 dBm;-70 dBm;-81 dBm;-56 dBm
-52 dBm;-54 dBm;-80 dBm;-53 dBm
-52 dBm;-54 dBm;-80 dBm;-81 dBm
-54 dBm;-62 dBm;-53 dBm;-80 dBm
-65 dBm;-53 dBm;-52 dBm;-80 dBm
-72 dBm;-52 dBm;-50 dBm;-81 dBm
-54 dBm;-51 dBm;-81 dBm;-80 dBm
-68 dBm;-53 dBm;-54 dBm;-54 dBm
-70 dBm;-54 dBm;-53 dBm;-62 dBm
-53 dBm;-71 dBm;-53 dBm;-53 dBm
-69 dBm;-54 dBm;-52 dBm;-50 dBm
-55 dBm;-62 dBm;-53 dBm;-51 dBm
-53 dBm;-53 dBm;-63 dBm;-51 dBm
-70 dBm;-54 dBm;-51 dBm;-82 dBm
-53 dBm;-53 dBm;-53 dBm;-82 dBm
-67 dBm;-54 dBm;-53 dBm;-53 dBm
-68 dBm;-71 dBm;-51 dBm;-62 dBm
-53 dBm;-55 dBm;-62 dBm;-53 dBm
-52 dBm;-62 dBm;-61 dBm;-83 dBm
-55 dBm;-53 dBm;-51 dBm;-84 dBm
-53 dBm;-71 dBm;-53 dBm;-82 dBm
-53 dBm;-54 dBm;-51 dBm;-54 dBm
-54 dBm;-62 dBm;-81 dBm;-61 dBm
-51 dBm;-61 dBm;-53 dBm;-54 dBm
-54 dBm;-62 dBm;-53 dBm;-83 dBm
-56 dBm;-61 dBm;-62 dBm;-83 dBm
-53 dBm;-53 dBm;-81 dBm;-82 dBm
-53 dBm;-72 dBm;-81 dBm;-83 dBm
-65 dBm;-72 dBm;-53 dBm;-62 dBm
-54 dBm;-72 dBm;-63 dBm;-53 dBm
-54 dBm;-53 dBm;-54 dBm;-53 dBm
-54 dBm;-53 dBm;-63 dBm;-51 dBm
-62 dBm;-52 dBm;-53 dBm;-51 dBm
-54 dBm;-51 dBm;-53 dBm;-82 dBm
-71 dBm;-53 dBm;-53 dBm;-54 dBm
-55 dBm;-54 dBm;-52 dBm;-63 dBm
-62 dBm;-62 dBm;-53 dBm;-51 dBm
-54 dBm;-54 dBm;-62 dBm;-54 dBm
-52 dBm;-54 dBm;-53 dBm;-62 dBm
-53 dBm;-53 dBm;-52 dBm;-54 dBm
-53 dBm;-51 dBm;-56 dBm;-53 dBm
