No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
142;7.187.449.020;-69 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=116/29696, ttl=64 (request in 141);172;;192.168.1.106;;-69 dBm
143;7.189.666.551;-52 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=116/29696, ttl=64;161;;192.168.1.106;;-52 dBm
144;7.239.860.868;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=171/43776, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
145;7.241.417.945;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=171/43776, ttl=64 (reply in 146);161;192.168.1.102;;-52 dBm;
146;7.243.010.137;-64 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=171/43776, ttl=64 (request in 145);172;192.168.1.102;;-64 dBm;
147;7.245.287.946;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=171/43776, ttl=64;161;192.168.1.102;;-52 dBm;
159;8.155.824.012;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=117/29952, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
160;8.202.580.408;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=117/29952, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
161;8.202.604.871;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=117/29952, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
162;8.202.620.420;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=117/29952, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
163;8.203.612.379;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=117/29952, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
164;8.204.351.561;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=117/29952, ttl=64 (reply in 165);161;;192.168.1.106;;-52 dBm
165;8.207.284.800;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=117/29952, ttl=64 (request in 164);161;;192.168.1.106;;-54 dBm
166;8.240.981.150;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=172/44032, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
167;8.243.287.502;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=172/44032, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
168;8.243.311.841;-54 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=172/44032, ttl=64 (no response found!);161;192.168.1.102;;-54 dBm;
